カテゴリー,サブカテゴリー,スキル項目,ロール,専門性,スキルレベル,スキルレベル_数値
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,サービスデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,サービスデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,サービスデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,システムズエンジニアリング,サービスデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,エンタープライズアーキテクチャ,サービスデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロジェクトマネジメント,サービスデザイナー,デザイナー,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ビジネス調査,サービスデザイナー,デザイナー,a,5.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスモデル設計,サービスデザイナー,デザイナー,a,5.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスアナリシス,サービスデザイナー,デザイナー,a,5.0
ビジネス変革,ビジネスモデル・プロセス,検証（ビジネス視点）,サービスデザイナー,デザイナー,a,5.0
ビジネス変革,ビジネスモデル・プロセス,マーケティング,サービスデザイナー,デザイナー,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ブランディング,サービスデザイナー,デザイナー,b,3.0
デザイン,デザイン,顧客・ユーザー理解,サービスデザイナー,デザイナー,a,5.0
デザイン,デザイン,価値発見・定義,サービスデザイナー,デザイナー,a,5.0
デザイン,デザイン,設計,サービスデザイナー,デザイナー,b,3.0
デザイン,デザイン,検証（顧客・ユーザー視点）,サービスデザイナー,デザイナー,a,5.0
デザイン,デザイン,その他デザイン技術,サービスデザイナー,デザイナー,c,2.0
データ活用,データ・AIの戦略的活用,データ理解・活用,サービスデザイナー,デザイナー,c,2.0
データ活用,データ・AIの戦略的活用,データ・AI活用戦略,サービスデザイナー,デザイナー,c,2.0
データ活用,データ・AIの戦略的活用,データ・AI活用業務の設計・事業実装・評価,サービスデザイナー,デザイナー,c,2.0
データ活用,AI・データサイエンス,数理統計・多変量解析・データ可視化,サービスデザイナー,デザイナー,d,1.0
データ活用,AI・データサイエンス,機械学習・深層学習,サービスデザイナー,デザイナー,d,1.0
データ活用,データエンジニアリング,データ活用基盤設計,サービスデザイナー,デザイナー,d,1.0
データ活用,データエンジニアリング,データ活用基盤実装・運用,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,コンピュータサイエンス,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,チーム開発,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,ソフトウェア設計手法,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,ソフトウェア開発プロセス,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,SREプロセス,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,サービス活用,サービスデザイナー,デザイナー,d,1.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,サービスデザイナー,デザイナー,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,サービスデザイナー,デザイナー,d,1.0
パーソナルスキル,ヒューマンスキル,リーダーシップ,サービスデザイナー,デザイナー,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,サービスデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,サービスデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,サービスデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,サービスデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,サービスデザイナー,デザイナー,z,2.5
