カテゴリー,サブカテゴリー,スキル項目,ロール,専門性,スキルレベル,スキルレベル_数値
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,バックエンドエンジニア,ソフトウェアエンジニア,d,1.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,システムズエンジニアリング,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,エンタープライズアーキテクチャ,バックエンドエンジニア,ソフトウェアエンジニア,d,1.0
ビジネス変革,戦略・マネジメント・システム,プロジェクトマネジメント,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,ビジネスモデル・プロセス,ビジネス調査,バックエンドエンジニア,ソフトウェアエンジニア,d,1.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスモデル設計,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスアナリシス,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,ビジネスモデル・プロセス,検証（ビジネス視点）,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,ビジネスモデル・プロセス,マーケティング,バックエンドエンジニア,ソフトウェアエンジニア,d,1.0
ビジネス変革,ビジネスモデル・プロセス,ブランディング,バックエンドエンジニア,ソフトウェアエンジニア,d,1.0
デザイン,デザイン,顧客・ユーザー理解,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
デザイン,デザイン,価値発見・定義,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
デザイン,デザイン,設計,バックエンドエンジニア,ソフトウェアエンジニア,d,1.0
デザイン,デザイン,検証（顧客・ユーザー視点）,バックエンドエンジニア,ソフトウェアエンジニア,b,3.0
デザイン,デザイン,その他デザイン技術,バックエンドエンジニア,ソフトウェアエンジニア,d,1.0
データ活用,データ・AIの戦略的活用,データ理解・活用,バックエンドエンジニア,ソフトウェアエンジニア,b,3.0
データ活用,データ・AIの戦略的活用,データ・AI活用戦略,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
データ活用,データ・AIの戦略的活用,データ・AI活用業務の設計・事業実装・評価,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
データ活用,AI・データサイエンス,数理統計・多変量解析・データ可視化,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
データ活用,AI・データサイエンス,機械学習・深層学習,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
データ活用,データエンジニアリング,データ活用基盤設計,バックエンドエンジニア,ソフトウェアエンジニア,b,3.0
データ活用,データエンジニアリング,データ活用基盤実装・運用,バックエンドエンジニア,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,コンピュータサイエンス,バックエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,チーム開発,バックエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,ソフトウェア設計手法,バックエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,ソフトウェア開発プロセス,バックエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,バックエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,バックエンドエンジニア,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,バックエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,バックエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,SREプロセス,バックエンドエンジニア,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,サービス活用,バックエンドエンジニア,ソフトウェアエンジニア,b,3.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,バックエンドエンジニア,ソフトウェアエンジニア,b,3.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
パーソナルスキル,ヒューマンスキル,リーダーシップ,バックエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,バックエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,バックエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,バックエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,バックエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,バックエンドエンジニア,ソフトウェアエンジニア,z,2.5
